card_type,context_id,final_intent,object_name,object_type,final_object_type,relation_subtype,method_edge_type,normalized_section,cited_acl_id,cited_title,citation_sentence,evidence_span,confidence,why_interesting
high-confidence evidence card,ctxr_5cce7b2182ffe9991ed5,background,SemEval,benchmark_or_protocol,benchmark_or_protocol,none,background,introduction,S16-1002,{S}em{E}val-2016 Task 5: Aspect Based Sentiment Analysis,"ABSA has been a shared task in SemEval 2014 (Pontiki et al., 2014) , 2015 (Nakov et al., 2015) , 2016 (Pontiki et al., 2016) , and as a part of the overall task of sentiment analysis on Twitter in SemEval 2017 (Rosenthal et al., 2017) .","ABSA has been a shared task in SemEval 2014 (Pontiki et al., 2014) , 2015 (Nakov et al., 2015) , 2016 (Pontiki et al., 2016) , and as a part of the overall task of sentiment analysis on Twitter in SemEval 2017 (Rosenthal et al., 2017) .",0.99,"The cited work is mentioned only as part of prior background on ABSA shared tasks; no direct use, comparison, extension, or critique is expressed."
high-confidence evidence card,ctxr_623739668deeceaaa5bf,background,Moses,software_or_tool,software_or_tool,direct_use,uses_component,background,N03-1017,Statistical Phrase-Based Translation,"We used the MOSES (Koehn et al., 2003) toolkit to train transliteration models by treating each transliteration pair (space separated sequence of characters) as the parallel data.","We used the MOSES (Koehn et al., 2003) toolkit to train transliteration models by treating each transliteration pair (space separated sequence of characters) as the parallel data.",0.99,"The sentence explicitly states direct use of the MOSES toolkit, which is evidence for a uses relation to the software/tool object."
high-confidence evidence card,ctxr_6e1d2f95f51dfbfdedbd,background,BLEU,metric,metric,none,background,unknown,P02-1040,{B}leu: a Method for Automatic Evaluation of Machine Translation,"The BLEU score, introduced by Papineni et al. (2002) , is a metric for evaluating the quality of a candidate translation by comparing it to one or more reference translations.","The BLEU score, introduced by Papineni et al. (2002) , is a metric for evaluating the quality of a candidate translation by comparing it to one or more reference translations.",0.99,"The sentence only defines BLEU as a metric introduced by the cited work, which is clear background description rather than use, comparison, or extension."
high-confidence evidence card,ctxr_870d70b03cf9f64efa73,background,SemEval,benchmark_or_protocol,benchmark_or_protocol,none,background,introduction,S13-2029,{S}em{E}val-2013 Task 10: Cross-lingual Word Sense Disambiguation,"This paper describes the systems submitted by the National Research Council Canada (NRC) for the Cross-Lingual Word Sense Disambiguation task at SemEval 2013 (Lefever and Hoste, 2013) .","This paper describes the systems submitted by the National Research Council Canada (NRC) for the Cross-Lingual Word Sense Disambiguation task at SemEval 2013 (Lefever and Hoste, 2013) .",0.99,"The citation is used as prior-work/background for the SemEval 2013 cross-lingual WSD task, not as a method use or comparison."
high-confidence evidence card,ctxr_ceb3937db00b211a655c,background,GIZA++,software_or_tool,software_or_tool,direct_use,uses_component,dataset,Q15-1021,Problems in Current Text Simplification Research: New Data Can Help,"To extract the lexical transformations from the data, we use GIZA++ (Och and Ney, 2000) similarly to previous research (Coster and Kauchak, 2011b; Xu et al., 2015) .","we use GIZA++ (Och and Ney, 2000) similarly to previous research (Coster and Kauchak, 2011b; Xu et al., 2015)",0.99,"The sentence directly states use of GIZA++; Xu et al. (2015) is only part of the supporting prior-work citation, so the relation to the cited work is background rather than a direct functional citation."
high-confidence evidence card,ctxr_dc13f4b1eb7dcbbcdcc8,background,Transformer,model,model,none,background,background,D14-1179,Learning Phrase Representations using {RNN} Encoder{--}Decoder for Statistical Machine Translation,"In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .","In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .",0.99,"Explicitly labeled as background; the cited Cho et al. work is mentioned as part of the encoder-decoder framework introduction, with no use, comparison, critique, or extension."
high-confidence evidence card,ctxr_dc13f4b1eb7dcbbcdcc8,background,seq2seq,model,model,none,background,background,D14-1179,Learning Phrase Representations using {RNN} Encoder{--}Decoder for Statistical Machine Translation,"In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .","In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .",0.99,"Explicitly labeled as background; the cited Cho et al. work is mentioned as part of the encoder-decoder framework introduction, with no use, comparison, critique, or extension."
high-confidence evidence card,ctxr_de8b8b5e6af52d9bb678,background,BLEU,metric,metric,none,background,introduction,P02-1040,{B}leu: a Method for Automatic Evaluation of Machine Translation,"De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .","De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .",0.99,"The sentence lists BLEU as one of several evaluation metrics for summarization, which is background context rather than use, comparison, extension, or critique of BLEU."
high-confidence evidence card,ctxr_de8b8b5e6af52d9bb678,background,METEOR,metric,metric,none,background,introduction,P02-1040,{B}leu: a Method for Automatic Evaluation of Machine Translation,"De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .","De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .",0.99,"The sentence lists BLEU as one of several evaluation metrics for summarization, which is background context rather than use, comparison, extension, or critique of BLEU."
ranking-reversal example,ctxr_899bf11cef2274ce87de,uses,PropBank,dataset_or_database,dataset_or_database,direct_use,uses_component,experiment,L18-1488,Rollenwechsel-{E}nglish: a large-scale semantic role corpus,"To learn an event representation from language resources with access to generalised event knowledge, we use the Rollenwechsel-English (RWeng) corpus 3 , a large-scale corpus based on BNC and ukWaC with about 2B tokens, which contains automatically generated PropBank-style semantic role labels for the head words of each argument (Sayeed et al., 2018) .",we use the Rollenwechsel-English (RWeng) corpus,0.99,"The sentence explicitly says the paper uses the RWeng corpus, which is direct use of a dataset/resource."
ranking-reversal example,ctxr_c7a645e03c404fe00c8c,compares_against,Transformer,model,model,compare_against,compares,related_work,2021.findings-acl.28,Spatial Dependency Parsing for Semi-Structured Document Information Extraction,"Similarly, SPADE (Hwang et al., 2021 ) is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging.",is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging,0.98,"The sentence explicitly describes SPADE as a graph decoder built on transformer models and contrasts it with simple BIO tagging, so the function is a clear comparison against a baseline."
ranking-reversal example,ctxr_c7a645e03c404fe00c8c,compares_against,BERT,model,model,compare_against,compares,related_work,2021.findings-acl.28,Spatial Dependency Parsing for Semi-Structured Document Information Extraction,"Similarly, SPADE (Hwang et al., 2021 ) is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging.",is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging,0.98,"The sentence explicitly describes SPADE as a graph decoder built on transformer models and contrasts it with simple BIO tagging, so the function is a clear comparison against a baseline."
ranking-reversal example,ctxr_fbe89905e1a51866adab,compares_against,CRF,method,method,compare_against,compares,unknown,W15-3121,{NTOU} {C}hinese Spelling Check System in Sighan-8 Bake-off,"We compare REALISE with the following baselines: KUAS , NTOU (Chu and Lin, 2015) , NCTU-NTUT (Wang and Liao, 2015) , HanSpeller++ , LMC (Xie et al., 2015) mainly utilize heuristics or traditional machine learning algorithms, such as n-gram language model, Conditional Random Field and Hidden Markov Model.","We compare REALISE with the following baselines: KUAS , NTOU (Chu and Lin, 2015) , NCTU-NTUT (Wang and Liao, 2015) , HanSpeller++ , LMC (Xie et al., 2015)",0.98,"The sentence explicitly says the current paper compares REALISE against NTOU as a baseline, which grounds a compare_against label."
ranking-reversal example,ctxr_fbe89905e1a51866adab,compares_against,HMM,method,method,compare_against,compares,unknown,W15-3121,{NTOU} {C}hinese Spelling Check System in Sighan-8 Bake-off,"We compare REALISE with the following baselines: KUAS , NTOU (Chu and Lin, 2015) , NCTU-NTUT (Wang and Liao, 2015) , HanSpeller++ , LMC (Xie et al., 2015) mainly utilize heuristics or traditional machine learning algorithms, such as n-gram language model, Conditional Random Field and Hidden Markov Model.","We compare REALISE with the following baselines: KUAS , NTOU (Chu and Lin, 2015) , NCTU-NTUT (Wang and Liao, 2015) , HanSpeller++ , LMC (Xie et al., 2015)",0.98,"The sentence explicitly says the current paper compares REALISE against NTOU as a baseline, which grounds a compare_against label."
