card_type,context_id,object_name,final_intent,final_object_type,final_relation_subtype,method_edge_type,resolved_cited_title,normalized_section,sentence_text,evidence_span,confidence,why_interesting
role quota,ctxr_870d70b03cf9f64efa73,SemEval,background,benchmark_or_protocol,none,background,{S}em{E}val-2013 Task 10: Cross-lingual Word Sense Disambiguation,introduction,"This paper describes the systems submitted by the National Research Council Canada (NRC) for the Cross-Lingual Word Sense Disambiguation task at SemEval 2013 (Lefever and Hoste, 2013) .","This paper describes the systems submitted by the National Research Council Canada (NRC) for the Cross-Lingual Word Sense Disambiguation task at SemEval 2013 (Lefever and Hoste, 2013) .",0.99,"The citation is used as prior-work/background for the SemEval 2013 cross-lingual WSD task, not as a method use or comparison."
role quota,ctxr_ceb3937db00b211a655c,GIZA++,background,software_or_tool,direct_use,uses_component,Problems in Current Text Simplification Research: New Data Can Help,dataset,"To extract the lexical transformations from the data, we use GIZA++ (Och and Ney, 2000) similarly to previous research (Coster and Kauchak, 2011b; Xu et al., 2015) .","we use GIZA++ (Och and Ney, 2000) similarly to previous research (Coster and Kauchak, 2011b; Xu et al., 2015)",0.99,"The sentence directly states use of GIZA++; Xu et al. (2015) is only part of the supporting prior-work citation, so the relation to the cited work is background rather than a direct functional citation."
role quota,ctxr_dc13f4b1eb7dcbbcdcc8,Transformer,background,model,none,background,Learning Phrase Representations using {RNN} Encoder{--}Decoder for Statistical Machine Translation,background,"In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .","In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .",0.99,"Explicitly labeled as background; the cited Cho et al. work is mentioned as part of the encoder-decoder framework introduction, with no use, comparison, critique, or extension."
role quota,ctxr_dc13f4b1eb7dcbbcdcc8,seq2seq,background,model,none,background,Learning Phrase Representations using {RNN} Encoder{--}Decoder for Statistical Machine Translation,background,"In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .","In this section, we will introduce the background of the encoder-decoder (Sutskever et al., 2014; Cho et al., 2014) framework and self-attentionbased Transformer (Vaswani et al., 2017) .",0.99,"Explicitly labeled as background; the cited Cho et al. work is mentioned as part of the encoder-decoder framework introduction, with no use, comparison, critique, or extension."
role quota,ctxr_de8b8b5e6af52d9bb678,BLEU,background,metric,none,background,{B}leu: a Method for Automatic Evaluation of Machine Translation,introduction,"De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .","De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .",0.99,"The sentence lists BLEU as one of several evaluation metrics for summarization, which is background context rather than use, comparison, extension, or critique of BLEU."
role quota,ctxr_de8b8b5e6af52d9bb678,METEOR,background,metric,none,background,{B}leu: a Method for Automatic Evaluation of Machine Translation,introduction,"De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .","De facto metrics to judge a generated summary include ROUGE (Lin, 2004) , BLEU (Papineni et al., 2002) , and METEOR (Banerjee and Lavie, 2005) .",0.99,"The sentence lists BLEU as one of several evaluation metrics for summarization, which is background context rather than use, comparison, extension, or critique of BLEU."
ranking reversal,ctxr_899bf11cef2274ce87de,PropBank,uses,dataset_or_database,direct_use,uses_component,Rollenwechsel-{E}nglish: a large-scale semantic role corpus,experiment,"To learn an event representation from language resources with access to generalised event knowledge, we use the Rollenwechsel-English (RWeng) corpus 3 , a large-scale corpus based on BNC and ukWaC with about 2B tokens, which contains automatically generated PropBank-style semantic role labels for the head words of each argument (Sayeed et al., 2018) .",we use the Rollenwechsel-English (RWeng) corpus,0.99,"The sentence explicitly says the paper uses the RWeng corpus, which is direct use of a dataset/resource."
ranking reversal,ctxr_ad67c21a00235eb4cde0,WordNet,uses,dataset_or_database,direct_use,uses_component,A Two-Phase Approach for Building {V}ietnamese {W}ord{N}et,unknown,"In our experiments, we use the Vietnamese wordnet 3 from Nguyen et al. (2016) for synonym replacement and the Vietnamese stopword dictionary 4 for removing stop words in the sentence.","In our experiments, we use the Vietnamese wordnet 3 from Nguyen et al. (2016) for synonym replacement and the Vietnamese stopword dictionary 4 for removing stop words in the sentence.",0.99,"The sentence explicitly says the current paper uses the Vietnamese wordnet from Nguyen et al. (2016) for synonym replacement, which is direct use of a dataset/resource."
ranking reversal,ctxr_c7a645e03c404fe00c8c,BERT,compares_against,model,compare_against,compares,Spatial Dependency Parsing for Semi-Structured Document Information Extraction,related_work,"Similarly, SPADE (Hwang et al., 2021 ) is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging.",is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging,0.98,"The sentence explicitly describes SPADE as a graph decoder built on transformer models and contrasts it with simple BIO tagging, so the function is a clear comparison against a baseline."
ranking reversal,ctxr_c7a645e03c404fe00c8c,Transformer,compares_against,model,compare_against,compares,Spatial Dependency Parsing for Semi-Structured Document Information Extraction,related_work,"Similarly, SPADE (Hwang et al., 2021 ) is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging.",is a graph decoder built upon the transformer models for better structure prediction compared to simple BIO tagging,0.98,"The sentence explicitly describes SPADE as a graph decoder built on transformer models and contrasts it with simple BIO tagging, so the function is a clear comparison against a baseline."
ranking reversal,ctxr_fbe89905e1a51866adab,CRF,compares_against,method,compare_against,compares,{NTOU} {C}hinese Spelling Check System in Sighan-8 Bake-off,unknown,"We compare REALISE with the following baselines: KUAS , NTOU (Chu and Lin, 2015) , NCTU-NTUT (Wang and Liao, 2015) , HanSpeller++ , LMC (Xie et al., 2015) mainly utilize heuristics or traditional machine learning algorithms, such as n-gram language model, Conditional Random Field and Hidden Markov Model.","We compare REALISE with the following baselines: KUAS , NTOU (Chu and Lin, 2015) , NCTU-NTUT (Wang and Liao, 2015) , HanSpeller++ , LMC (Xie et al., 2015)",0.98,"The sentence explicitly says the current paper compares REALISE against NTOU as a baseline, which grounds a compare_against label."
